Log file created at 638442836997752129...
Training SP to get stable.
-------------- Newborn SP Cycle 1 ---------------
-------------- Newborn SP Cycle 2 ---------------
-------------- Newborn SP Cycle 3 ---------------
-------------- Newborn SP Cycle 4 ---------------
-------------- Newborn SP Cycle 5 ---------------
-------------- Newborn SP Cycle 6 ---------------
-------------- Newborn SP Cycle 7 ---------------
-------------- Newborn SP Cycle 8 ---------------
-------------- Newborn SP Cycle 9 ---------------
-------------- Newborn SP Cycle 10 ---------------
-------------- Newborn SP Cycle 11 ---------------
-------------- Newborn SP Cycle 12 ---------------
-------------- Newborn SP Cycle 13 ---------------
-------------- Newborn SP Cycle 14 ---------------
-------------- Newborn SP Cycle 15 ---------------
-------------- Newborn SP Cycle 16 ---------------
-------------- Newborn SP Cycle 17 ---------------
-------------- Newborn SP Cycle 18 ---------------
-------------- Newborn SP Cycle 19 ---------------
-------------- Newborn SP Cycle 20 ---------------
-------------- Newborn SP Cycle 21 ---------------
-------------- Newborn SP Cycle 22 ---------------
-------------- Newborn SP Cycle 23 ---------------
-------------- Newborn SP Cycle 24 ---------------
-------------- Newborn SP Cycle 25 ---------------
-------------- Newborn SP Cycle 26 ---------------
-------------- Newborn SP Cycle 27 ---------------
-------------- Newborn SP Cycle 28 ---------------
-------------- Newborn SP Cycle 29 ---------------
-------------- Newborn SP Cycle 30 ---------------
-------------- Newborn SP Cycle 31 ---------------
-------------- Newborn SP Cycle 32 ---------------
-------------- Newborn SP Cycle 33 ---------------
-------------- Newborn SP Cycle 34 ---------------
-------------- Newborn SP Cycle 35 ---------------
-------------- Newborn SP Cycle 36 ---------------
-------------- Newborn SP Cycle 37 ---------------
-------------- Newborn SP Cycle 38 ---------------
-------------- Newborn SP Cycle 39 ---------------
-------------- Newborn SP Cycle 40 ---------------
-------------- Newborn SP Cycle 41 ---------------
-------------- Newborn SP Cycle 42 ---------------
-------------- Newborn SP Cycle 43 ---------------
-------------- Newborn SP Cycle 44 ---------------
-------------- Newborn SP Cycle 45 ---------------
-------------- Newborn SP Cycle 46 ---------------
-------------- Newborn SP Cycle 47 ---------------
-------------- Newborn SP Cycle 48 ---------------
-------------- Newborn SP Cycle 49 ---------------
-------------- Newborn SP Cycle 50 ---------------
-------------- Newborn SP Cycle 51 ---------------
-------------- Newborn SP Cycle 52 ---------------
-------------- Newborn SP Cycle 53 ---------------
-------------- Newborn SP Cycle 54 ---------------
-------------- Newborn SP Cycle 55 ---------------
-------------- Newborn SP Cycle 56 ---------------
-------------- Newborn SP Cycle 57 ---------------
-------------- Newborn SP Cycle 58 ---------------
-------------- Newborn SP Cycle 59 ---------------
-------------- Newborn SP Cycle 60 ---------------
-------------- Newborn SP Cycle 61 ---------------
-------------- Newborn SP Cycle 62 ---------------
-------------- Newborn SP Cycle 63 ---------------
-------------- Newborn SP Cycle 64 ---------------
-------------- Newborn SP Cycle 65 ---------------
-------------- Newborn SP Cycle 66 ---------------
-------------- Newborn SP Cycle 67 ---------------
-------------- Newborn SP Cycle 68 ---------------
-------------- Newborn SP Cycle 69 ---------------
-------------- Newborn SP Cycle 70 ---------------
-------------- Newborn SP Cycle 71 ---------------
-------------- Newborn SP Cycle 72 ---------------
-------------- Newborn SP Cycle 73 ---------------
-------------- Newborn SP Cycle 74 ---------------
-------------- Newborn SP Cycle 75 ---------------
-------------- Newborn SP Cycle 76 ---------------
-------------- Newborn SP Cycle 77 ---------------
-------------- Newborn SP Cycle 78 ---------------
-------------- Newborn SP Cycle 79 ---------------
-------------- Newborn SP Cycle 80 ---------------
-------------- Newborn SP Cycle 81 ---------------
-------------- Newborn SP Cycle 82 ---------------
-------------- Newborn SP Cycle 83 ---------------
-------------- Newborn SP Cycle 84 ---------------
-------------- Newborn SP Cycle 85 ---------------
-------------- Newborn SP Cycle 86 ---------------
-------------- Newborn SP Cycle 87 ---------------
-------------- Newborn SP Cycle 88 ---------------
-------------- Newborn SP Cycle 89 ---------------
-------------- Newborn SP Cycle 90 ---------------
-------------- Newborn SP Cycle 91 ---------------
-------------- Newborn SP Cycle 92 ---------------
-------------- Newborn SP Cycle 93 ---------------
-------------- Newborn SP Cycle 94 ---------------
-------------- Newborn SP Cycle 95 ---------------
